employee_id,employee_name,role,hiredate,salary,dept_no,email
82,Richard Stephens,Developer,2020-11-18,96647.67,1,richard.stephens@uh.com
83,Christina Clark,Developer,2021-09-09,49337.93,3,christina.clark@uh.com
84,Helen Hood,Manager,2020-03-29,32371.69,2,helen.hood@uh.com
85,Susan Alexander,Analyst,2023-08-03,91350.54,1,susan.alexander@uh.com
86,Diane Collins,Designer,2021-10-16,32318.79,3,diane.collins@uh.com
87,Audrey White,Analyst,2022-05-16,81245.64,2,audrey.white@uh.com
88,Michael Freeman,Designer,2021-12-20,55608.8,3,michael.freeman@uh.com
89,Shannon Williams,Designer,2023-10-06,70524.92,3,shannon.williams@uh.com
90,Rachel Wilson,Designer,2020-07-21,65605.21,1,rachel.wilson@uh.com
91,Ashlee Barber,Analyst,2020-07-11,49329.69,1,ashlee.barber@uh.com
92,Joshua Austin,Analyst,2022-04-16,81808.93,3,joshua.austin@uh.com
93,Stephanie Wallace,Developer,2022-10-29,31906.39,1,stephanie.wallace@uh.com
94,Tanya Mcdonald,Analyst,2020-08-12,49207.23,2,tanya.mcdonald@uh.com
95,Nathaniel Dunn,Designer,2022-09-29,61416.87,2,nathaniel.dunn@uh.com
96,James Johnson,Designer,2023-06-22,60913.11,1,james.johnson@uh.com
97,Lisa Thomas,Analyst,2021-11-16,66484.42,1,lisa.thomas@uh.com
98,Eric Wilson,HR,2020-10-10,50053.24,3,eric.wilson@uh.com
99,Michelle Monroe,Designer,2020-09-16,51602.61,1,michelle.monroe@uh.com
100,Jennifer Pineda,Developer,2023-05-18,97511.51,3,jennifer.pineda@uh.com
101,Stephanie Norman,Manager,2021-12-25,93249.2,2,stephanie.norman@uh.com
102,Robert Ryan,Designer,2023-07-27,71756.33,1,robert.ryan@uh.com
103,Luke Shaffer,Manager,2023-03-05,51249.69,2,luke.shaffer@uh.com
104,Amanda Rodriguez,Manager,2020-03-31,78092.83,3,amanda.rodriguez@uh.com
105,Robert Evans,HR,2023-02-22,92028.3,2,robert.evans@uh.com
106,Kimberly Stanley MD,Designer,2021-11-19,35605.45,3,kimberly.stanley.md@uh.com
107,Thomas Orr,HR,2022-11-07,92761.07,2,thomas.orr@uh.com
108,Lisa Caldwell,Manager,2023-06-21,66531.39,2,lisa.caldwell@uh.com
109,Karla Martin,Developer,2022-01-17,45176.34,3,karla.martin@uh.com
110,Todd Duffy,Analyst,2021-01-31,62480.39,2,todd.duffy@uh.com
111,Sean Thomas,Analyst,2021-08-23,55891.89,3,sean.thomas@uh.com
112,Jerry Woodard,Analyst,2022-12-19,46306.5,3,jerry.woodard@uh.com
113,Juan Bruce,HR,2023-04-29,36529.68,1,juan.bruce@uh.com
114,Gabriel Bailey,Designer,2022-02-26,95496.38,1,gabriel.bailey@uh.com
115,Christopher Harrison,Developer,2022-02-08,87906.56,3,christopher.harrison@uh.com
116,Kathryn Smith,Manager,2023-11-09,42844.85,2,kathryn.smith@uh.com
117,Samantha Long,Analyst,2020-04-15,70209.87,1,samantha.long@uh.com
118,Ronald Smith,Designer,2021-07-31,79200.22,3,ronald.smith@uh.com
119,Matthew Mendez,Analyst,2022-04-22,88734.88,2,matthew.mendez@uh.com
120,Katelyn Garcia,HR,2021-06-24,63190.2,2,katelyn.garcia@uh.com
121,Brianna Williams,Developer,2022-11-05,64816.69,3,brianna.williams@uh.com
122,Cody Smith,Developer,2021-03-01,58022.73,2,cody.smith@uh.com
123,Jonathan Brady,Analyst,2020-05-11,46207.01,3,jonathan.brady@uh.com
124,Kimberly Perry,Developer,2023-04-06,66476.14,1,kimberly.perry@uh.com
125,Kevin Hernandez,Designer,2020-04-25,35263.35,2,kevin.hernandez@uh.com
126,Greg Stark,Manager,2023-08-25,48143.21,1,greg.stark@uh.com
127,Cynthia Mckee,HR,2022-05-09,83304.43,3,cynthia.mckee@uh.com
128,Gregory Ward,HR,2020-02-29,83439.71,2,gregory.ward@uh.com
129,Katherine Lopez,Manager,2023-10-05,38603.26,1,katherine.lopez@uh.com
130,Christina Jefferson,Analyst,2020-07-16,66995.05,2,christina.jefferson@uh.com
131,Allen Peters,Manager,2021-02-19,98487.26,1,allen.peters@uh.com
132,Jacob Pennington,Manager,2020-06-14,47395.02,3,jacob.pennington@uh.com
133,Samantha Price,HR,2023-07-23,58511.72,1,samantha.price@uh.com
134,Richard Garcia,Analyst,2022-11-19,97850.88,2,richard.garcia@uh.com
135,Angela Allen,Developer,2023-09-28,89629.67,1,angela.allen@uh.com
136,Mark Bridges,Analyst,2022-07-10,51238.77,3,mark.bridges@uh.com
137,Anna Parker,HR,2021-06-14,51938.18,3,anna.parker@uh.com
138,Ryan Olsen,Analyst,2022-07-16,83354.86,2,ryan.olsen@uh.com
139,Dominic Miles,Analyst,2021-04-14,94212.04,2,dominic.miles@uh.com
140,Alyssa Johnson,Developer,2021-09-16,79302.49,3,alyssa.johnson@uh.com
141,Edward Taylor,Developer,2022-10-22,93353.93,1,edward.taylor@uh.com
142,Melissa Little,Manager,2022-05-13,70402.13,2,melissa.little@uh.com
143,Kevin Sanders,HR,2021-07-08,95870.81,1,kevin.sanders@uh.com
144,William Gray,Designer,2021-05-20,74427.09,3,william.gray@uh.com
145,Amanda Hahn,Manager,2022-06-23,42762.33,2,amanda.hahn@uh.com
146,Christopher Sanders,Developer,2022-07-03,76247.6,1,christopher.sanders@uh.com
147,Jason Williams,Analyst,2020-06-20,57245.63,3,jason.williams@uh.com
148,Bonnie Jones,Designer,2022-09-21,59486.25,1,bonnie.jones@uh.com
149,Brian Galloway,Manager,2022-02-24,48263.08,2,brian.galloway@uh.com
150,Lisa Contreras,Developer,2022-09-22,60477.6,3,lisa.contreras@uh.com
151,Russell Vaughn,Developer,2022-01-25,94229.17,3,russell.vaughn@uh.com
152,Miranda Smith,Designer,2021-06-11,89923.58,1,miranda.smith@uh.com
153,Mark Gonzales,Designer,2023-06-03,97061.95,2,mark.gonzales@uh.com
154,Corey Acosta,Developer,2020-11-17,92836.07,1,corey.acosta@uh.com
155,April James,Developer,2022-01-20,62397.15,2,april.james@uh.com
156,Elizabeth Gonzalez,HR,2020-11-02,34573.15,3,elizabeth.gonzalez@uh.com
157,Robin Chase,Manager,2023-01-17,87413.72,1,robin.chase@uh.com
158,William Kline,Developer,2023-02-01,30310.28,2,william.kline@uh.com
159,John Smith,HR,2023-01-24,50122.62,3,john.smith@uh.com
160,Pamela Lopez,HR,2020-05-01,63386.17,3,pamela.lopez@uh.com
161,Daniel Barnett,Manager,2021-04-06,36629.39,2,daniel.barnett@uh.com
162,Kelsey Soto,Manager,2020-03-17,40898.97,3,kelsey.soto@uh.com
163,Misty Gutierrez,Manager,2023-06-20,62112.35,1,misty.gutierrez@uh.com
164,Aaron Cooper MD,Manager,2022-01-09,83039.54,2,aaron.cooper.md@uh.com
165,Robert Reid,HR,2023-01-16,77283.43,3,robert.reid@uh.com
166,Amber Roberts,Manager,2021-07-09,97033.56,1,amber.roberts@uh.com
167,Kristen Patrick,Designer,2021-08-31,35030.11,1,kristen.patrick@uh.com
168,Amber Wu,Manager,2022-07-09,30953.95,3,amber.wu@uh.com
169,Paul Campbell,Developer,2021-04-16,94145.79,3,paul.campbell@uh.com
170,Stephanie Mccall,HR,2021-02-12,33608.86,2,stephanie.mccall@uh.com
171,Tiffany Bowman,Analyst,2023-09-30,38146.22,3,tiffany.bowman@uh.com
172,Roberta Miller,Analyst,2023-11-08,42615.09,1,roberta.miller@uh.com
173,Joseph Arellano,Designer,2022-08-03,34879.46,3,joseph.arellano@uh.com
174,Carl Mckenzie,Designer,2022-03-28,80009.02,3,carl.mckenzie@uh.com
175,Ruth Parker,Analyst,2020-05-15,63763.69,2,ruth.parker@uh.com
176,Bill Blackburn,Manager,2021-12-13,96762.46,3,bill.blackburn@uh.com
177,Ross Odom,Manager,2020-01-28,96481.79,1,ross.odom@uh.com
178,Austin Flynn,Developer,2020-10-23,89904.75,1,austin.flynn@uh.com
179,Susan Adkins,HR,2021-07-20,53354.24,1,susan.adkins@uh.com
180,Courtney Gray,Manager,2020-08-27,52837.42,1,courtney.gray@uh.com
181,Donna Garcia,Designer,2020-05-15,73339.71,2,donna.garcia@uh.com
182,Jesse Baker Jr.,Analyst,2021-04-02,52732.85,3,jesse.baker.jr.@uh.com
183,Christine Berger,Analyst,2022-06-15,53595.69,3,christine.berger@uh.com
184,James Wilson,Designer,2021-08-28,47569.63,1,james.wilson@uh.com
185,Michael Soto PhD,Designer,2020-11-22,40466.26,1,michael.soto.phd@uh.com
186,Michael Chandler,HR,2020-09-21,31748.18,1,michael.chandler@uh.com
187,Joseph Rogers,Analyst,2021-08-13,74136.99,3,joseph.rogers@uh.com
188,Phillip Roberts,Designer,2021-08-25,56163.86,3,phillip.roberts@uh.com
189,Elizabeth Hill,Manager,2021-09-24,43804.8,3,elizabeth.hill@uh.com
190,Robert Gilbert,Designer,2020-01-21,57500.61,1,robert.gilbert@uh.com
191,Amy Dodson,Analyst,2023-03-01,63695.19,3,amy.dodson@uh.com
192,Barbara Jones,Manager,2023-04-11,39862.95,3,barbara.jones@uh.com
193,Derek Medina,Designer,2022-01-12,44632.39,2,derek.medina@uh.com
194,Robert Hamilton,Manager,2021-05-06,82899.56,3,robert.hamilton@uh.com
195,Henry Welch,Developer,2020-06-21,71290.76,2,henry.welch@uh.com
196,Samantha Perez,Analyst,2020-10-16,77163.79,1,samantha.perez@uh.com
197,Donna Henry,Developer,2022-04-25,77724.38,2,donna.henry@uh.com
198,Charles Henry,Designer,2020-10-09,75507.89,2,charles.henry@uh.com
199,Shari Williams,HR,2023-01-05,86105.85,1,shari.williams@uh.com
200,Denise Johnson,HR,2021-10-17,39807.96,3,denise.johnson@uh.com
201,Patricia Hernandez,Developer,2023-05-26,98787.7,2,patricia.hernandez@uh.com
202,Brian Mcguire,HR,2021-07-30,67073.23,1,brian.mcguire@uh.com
203,Erin Torres,HR,2020-08-06,45840.02,3,erin.torres@uh.com
204,Marcus Quinn,Analyst,2021-01-27,84704.51,3,marcus.quinn@uh.com
205,Jennifer Fitzgerald,Manager,2022-06-16,83652.51,3,jennifer.fitzgerald@uh.com
206,Charles Curtis,Manager,2022-06-30,48689.57,1,charles.curtis@uh.com
207,William Mcmillan,Designer,2022-12-08,30412.25,1,william.mcmillan@uh.com
208,Jeffrey Nunez,Manager,2022-11-27,83487.52,3,jeffrey.nunez@uh.com
209,Harry Lewis,Manager,2020-07-09,46867.59,2,harry.lewis@uh.com
210,Mark Davis,Developer,2022-10-20,47133.15,2,mark.davis@uh.com
211,Seth Williamson,Designer,2023-01-07,87539.47,1,seth.williamson@uh.com
212,Penny Harris,Analyst,2022-05-01,41901.98,3,penny.harris@uh.com
213,Laurie Bowen,Analyst,2021-11-15,67227.93,2,laurie.bowen@uh.com
214,Tamara White,Designer,2021-08-17,99875.22,1,tamara.white@uh.com
215,Travis Howard,HR,2021-04-21,59551.61,1,travis.howard@uh.com
216,James Stokes,Analyst,2020-09-04,73082.83,3,james.stokes@uh.com
217,Jason Schultz,Designer,2021-05-10,38010.97,2,jason.schultz@uh.com
218,Bryan Walker,Developer,2023-02-17,40520.22,3,bryan.walker@uh.com
219,Dr. John Davis,Manager,2021-05-20,99431.56,1,dr..john.davis@uh.com
220,Elizabeth Blankenship,Developer,2021-11-30,81199.72,2,elizabeth.blankenship@uh.com
221,Jocelyn Hanson,Developer,2021-03-15,98675.64,1,jocelyn.hanson@uh.com
222,Jared Herrera,HR,2022-11-15,36843.24,2,jared.herrera@uh.com
223,Gina Jackson,Analyst,2022-01-27,37648.13,2,gina.jackson@uh.com
224,Amanda Decker,Designer,2020-05-30,73202.86,2,amanda.decker@uh.com
225,Michael Armstrong,Designer,2020-11-02,37847.14,1,michael.armstrong@uh.com
226,Stacy Martin,HR,2021-07-31,32270.78,2,stacy.martin@uh.com
227,George Jarvis,Analyst,2020-10-24,56945.27,2,george.jarvis@uh.com
228,Ian Beard,Designer,2023-05-09,72414.66,1,ian.beard@uh.com
229,Kevin Ferrell,HR,2020-08-20,92163.15,3,kevin.ferrell@uh.com
230,Angela Burgess,Developer,2020-02-16,89450.77,3,angela.burgess@uh.com
231,Vanessa Smith,Analyst,2023-03-22,48407.58,2,vanessa.smith@uh.com
232,Joseph Lara,Developer,2020-01-29,57121.35,1,joseph.lara@uh.com
233,Heather Harris,Designer,2022-07-08,85521.44,2,heather.harris@uh.com
234,Kevin Johnson,Analyst,2022-09-07,85982.92,3,kevin.johnson@uh.com
235,Chelsea Bright,Analyst,2022-09-22,52021.6,3,chelsea.bright@uh.com
236,Matthew Price,Developer,2021-07-22,35979.88,1,matthew.price@uh.com
237,Kevin Wilson,Designer,2021-07-02,47647.75,1,kevin.wilson@uh.com
238,Aaron Burnett,Analyst,2023-02-08,81494.39,3,aaron.burnett@uh.com
239,John Vega,HR,2022-11-22,60314.45,3,john.vega@uh.com
240,Paul Castillo,Designer,2020-10-03,82467.77,1,paul.castillo@uh.com
241,Patrick Hamilton,HR,2020-02-01,62534.6,2,patrick.hamilton@uh.com
242,Sara Gates,Manager,2021-10-05,66774.61,3,sara.gates@uh.com
243,Diana Whitney,Analyst,2022-01-17,46199.23,2,diana.whitney@uh.com
244,Lisa Martin,HR,2023-04-16,42127.93,1,lisa.martin@uh.com
245,Richard Craig,Developer,2020-10-04,36013.53,2,richard.craig@uh.com
246,Dana Gray,Manager,2021-09-03,72062.75,2,dana.gray@uh.com
247,Lori Ross,Developer,2020-12-31,54316.12,1,lori.ross@uh.com
248,Andre Hernandez,Analyst,2023-05-01,89510.66,1,andre.hernandez@uh.com
249,Megan Lopez,Designer,2021-05-03,80871.13,3,megan.lopez@uh.com
250,Anthony Scott,Developer,2021-11-19,35347.66,2,anthony.scott@uh.com
251,James Gutierrez,Manager,2023-09-02,48809.78,1,james.gutierrez@uh.com
252,Charles Cook,Analyst,2023-01-07,95366.89,1,charles.cook@uh.com
253,Austin Mclaughlin,Analyst,2023-08-06,85603.85,2,austin.mclaughlin@uh.com
254,Michael Farrell,Manager,2020-12-11,64680.21,1,michael.farrell@uh.com
255,Samantha Smith,Designer,2020-10-28,37673.46,1,samantha.smith@uh.com
256,Ruth Henderson,Developer,2022-05-06,79931.68,1,ruth.henderson@uh.com
257,Samuel Ruiz,HR,2023-05-05,81108.34,3,samuel.ruiz@uh.com
258,Alexis Turner,Manager,2023-04-10,67903.73,1,alexis.turner@uh.com
259,James Sanchez,Designer,2022-02-04,47625.19,3,james.sanchez@uh.com
260,Brandy Lewis,Analyst,2022-10-29,76293.14,2,brandy.lewis@uh.com
261,Michael Gomez,Designer,2023-01-24,62597.77,1,michael.gomez@uh.com
262,Kathryn Smith,Developer,2021-07-23,93881.47,2,kathryn.smith@uh.com
263,Mathew Brown,Manager,2020-12-01,68928.6,1,mathew.brown@uh.com
264,Matthew Shea,Manager,2022-08-12,40224.53,1,matthew.shea@uh.com
265,Andrew Garcia,HR,2022-07-03,76302.24,2,andrew.garcia@uh.com
266,Matthew Garcia,Analyst,2021-06-01,65167.35,3,matthew.garcia@uh.com
267,Catherine Scott,Developer,2023-09-06,99639.66,3,catherine.scott@uh.com
268,Mrs. Sheri Johnson,Manager,2023-11-01,58055.74,2,mrs..sheri.johnson@uh.com
269,Jesse Diaz,Designer,2022-02-13,40127.04,2,jesse.diaz@uh.com
270,Meghan Ferrell,Developer,2021-05-02,60373.08,3,meghan.ferrell@uh.com
271,Brandy Rice,Developer,2022-03-29,50620.3,3,brandy.rice@uh.com
272,David Odom,Manager,2020-06-30,41659.88,1,david.odom@uh.com
273,Marcia Gomez,Manager,2022-09-10,56483.12,3,marcia.gomez@uh.com
274,Kevin Clark,HR,2022-09-12,31356.76,2,kevin.clark@uh.com
275,Eugene Rodriguez,Manager,2022-01-12,32811.63,2,eugene.rodriguez@uh.com
276,Gregg Brown,Analyst,2020-01-17,33488.06,2,gregg.brown@uh.com
277,Deborah Walker,Analyst,2023-09-18,69927.64,1,deborah.walker@uh.com
278,Linda Watson,HR,2021-10-07,78084.87,3,linda.watson@uh.com
279,Rebekah Jones,Analyst,2021-08-07,96783.53,1,rebekah.jones@uh.com
280,Melody Brandt,Manager,2021-08-05,65018.0,1,melody.brandt@uh.com
281,Daniel Spencer,Developer,2023-03-31,80894.26,1,daniel.spencer@uh.com
282,Theresa Day,Designer,2022-04-11,36951.9,3,theresa.day@uh.com
283,Colleen Kaiser,HR,2023-02-08,65212.78,2,colleen.kaiser@uh.com
284,Matthew Mann,HR,2022-12-05,64095.96,2,matthew.mann@uh.com
285,Sharon Wong,Designer,2022-10-29,50328.31,1,sharon.wong@uh.com
286,Kerry Washington,Analyst,2021-12-17,58705.13,1,kerry.washington@uh.com
287,Rebecca Thompson,Manager,2022-10-26,68821.1,3,rebecca.thompson@uh.com
288,Christopher Bowman,HR,2022-03-01,94978.11,1,christopher.bowman@uh.com
289,Jessica Mcdonald,HR,2023-05-14,72654.47,3,jessica.mcdonald@uh.com
290,Ellen Patterson,Analyst,2022-09-27,46148.17,3,ellen.patterson@uh.com
291,Jessica Williams,Developer,2021-03-20,66362.44,2,jessica.williams@uh.com
292,Vincent Weber,Developer,2020-01-14,44627.47,3,vincent.weber@uh.com
293,John Young DDS,Developer,2020-04-23,87939.2,3,john.young.dds@uh.com
294,Vanessa Mcclure,Manager,2022-03-14,52535.14,1,vanessa.mcclure@uh.com
295,Zachary Morgan,Manager,2021-01-13,82003.56,3,zachary.morgan@uh.com
296,Brandon Perry,HR,2022-01-24,68530.41,2,brandon.perry@uh.com
297,Matthew Martin,Manager,2023-05-07,74452.76,3,matthew.martin@uh.com
298,Louis Pugh,Manager,2021-02-03,84077.66,2,louis.pugh@uh.com
299,Marcus Martinez,HR,2022-05-19,75803.22,3,marcus.martinez@uh.com
300,Kenneth Davis,Analyst,2022-08-21,99974.6,2,kenneth.davis@uh.com
301,Robert Hines,Developer,2021-01-01,72586.11,1,robert.hines@uh.com
302,Amanda Meyer,HR,2021-12-03,45613.35,2,amanda.meyer@uh.com
303,Nicole Houston DVM,Designer,2020-03-15,85256.77,3,nicole.houston.dvm@uh.com
304,Lori Baker,Analyst,2020-06-15,70619.37,3,lori.baker@uh.com
305,Donald Baker,Manager,2021-04-24,31563.76,1,donald.baker@uh.com
306,Morgan Hill,Designer,2020-06-08,45668.18,2,morgan.hill@uh.com
307,James Cole,Analyst,2022-10-07,87576.64,3,james.cole@uh.com
308,Melissa Moody,Analyst,2022-09-02,31603.78,2,melissa.moody@uh.com
309,Bailey Fisher,Manager,2021-06-06,65284.47,3,bailey.fisher@uh.com
310,Deborah Strong,HR,2021-06-15,93869.37,2,deborah.strong@uh.com
311,Edward Foley,Analyst,2020-06-19,47710.56,2,edward.foley@uh.com
312,Nicole Sawyer,Manager,2020-06-30,49029.92,1,nicole.sawyer@uh.com
313,Lawrence Miller,Designer,2022-05-23,78902.81,3,lawrence.miller@uh.com
314,David Gregory,Designer,2022-10-18,87414.93,2,david.gregory@uh.com
315,John Rodriguez,Manager,2020-10-20,45433.33,1,john.rodriguez@uh.com
316,Phyllis Phelps,Designer,2022-11-02,55387.41,2,phyllis.phelps@uh.com
317,Katrina Ingram,Developer,2020-03-19,52054.0,3,katrina.ingram@uh.com
318,Derek Hernandez,Developer,2020-03-22,35460.85,3,derek.hernandez@uh.com
319,Heather Bean,Analyst,2021-09-30,87520.26,1,heather.bean@uh.com
320,Bradley Delgado,Designer,2023-05-30,98019.97,2,bradley.delgado@uh.com
321,John Davila,Manager,2023-02-04,70906.38,3,john.davila@uh.com
322,Miss Jill Murphy,HR,2022-01-15,72080.62,2,miss.jill.murphy@uh.com
323,Amy Smith,HR,2023-05-12,83418.85,3,amy.smith@uh.com
324,Amanda Ellis,HR,2023-08-03,66201.48,3,amanda.ellis@uh.com
325,Angela Edwards,Designer,2021-02-13,44687.04,1,angela.edwards@uh.com
326,William Graves,Developer,2023-07-31,71960.74,3,william.graves@uh.com
327,Richard Brown,Developer,2022-02-27,42904.1,1,richard.brown@uh.com
328,Dawn Webb,HR,2020-02-17,84908.3,1,dawn.webb@uh.com
329,Jeffrey Quinn,Designer,2021-06-18,80491.7,2,jeffrey.quinn@uh.com
330,Kevin Craig,Designer,2020-09-03,91159.73,2,kevin.craig@uh.com
331,Leonard Williams,Analyst,2023-10-26,94440.76,3,leonard.williams@uh.com
332,Elizabeth Hahn,Designer,2020-08-28,66473.83,1,elizabeth.hahn@uh.com
333,Jonathan Sanchez,HR,2020-05-10,59522.78,2,jonathan.sanchez@uh.com
334,Brent Malone,Analyst,2022-08-27,58243.49,3,brent.malone@uh.com
335,Mr. Peter Romero DVM,Developer,2022-12-22,40128.61,3,mr..peter.romero.dvm@uh.com
336,Mrs. Chelsey Black,Designer,2021-06-22,56365.45,3,mrs..chelsey.black@uh.com
337,Aaron Obrien,Developer,2023-04-18,71456.05,2,aaron.obrien@uh.com
338,Kathleen Dixon,Designer,2021-08-12,57778.24,1,kathleen.dixon@uh.com
339,Erin Henderson,Developer,2023-06-16,58551.71,1,erin.henderson@uh.com
340,Jennifer Arellano,Analyst,2022-08-20,37163.34,2,jennifer.arellano@uh.com
341,Lucas Allen,Developer,2020-11-05,76585.74,1,lucas.allen@uh.com
